location,country,org_full,org_short,subject,keywords,url
Bangkok,Thailand,Mahidol-Oxford Tropical Medicine Research Unit,MORU,"Developing a Prognostic model for severe falciparum malaria patients treated with Artesunate or Quinine in Bangladesh, India, Indonesia, and Myanmar.",prognostic model; malaria,http://www.tropicalmedicine.ox.ac.uk/thailand-moru 
Bangkok,Thailand,Mahidol-Oxford Tropical Medicine Research Unit,MORU,Mapping of antimalarial drug-resistance,spatial epidemiology; anti-malarial drug resistance,http://www.tropicalmedicine.ox.ac.uk/thailand-moru 
Bangkok,Thailand,Mahidol-Oxford Tropical Medicine Research Unit,MORU,"Modeling the length of hospital stay for severe falciparum malaria patients treated with Artesunate or Quinine in Bangladesh, India, Indonesia, and Myanmar. An application of a competing risks model.",data analysis; malaria,http://www.tropicalmedicine.ox.ac.uk/thailand-moru 
Bangkok,Thailand,Mahidol-Oxford Tropical Medicine Research Unit,MORU,"Social science work around the theme of antimicrobial resistance, in particular antibiotic use and misuse. ",translational research; antibiotic use,http://www.tropicalmedicine.ox.ac.uk/thailand-moru 
Bangkok,Thailand,Mahidol-Oxford Tropical Medicine Research Unit,MORU,Mapping the spatiotemporal heterogeneity of malaria incidence in Bangladesh to help guide planning of malaria elimination strategies.,spatiotemporal heterogeneity; malaria,http://www.tropicalmedicine.ox.ac.uk/thailand-moru 
Bangkok,Thailand,Mathematical and Economic Modelling,MAEMOD,Modelling the potential impact of a norovirus vaccine in developing settings,norovirus; economic valuation; vaccine; modelling,http://www.tropmedres.ac/mathematical-economic-modelling 
Bangkok,Thailand,Mathematical and Economic Modelling,MAEMOD,Modelling the potential impact of new Hepatitis C virus treatment in Southeast Asia,modelling; HIV; economics,http://www.tropmedres.ac/mathematical-economic-modelling 
Mae Sot,Thailand,Shoklo Malaria Research Unit,SMRU,Infancy Anaemia epidemiological study,infancy anaemia; data analysis,http://www.tropmedres.ac/shoklo-malaria-research-unit-smru
Mae Sot,Thailand,Shoklo Malaria Research Unit,SMRU,Clinical outcomes of new technologies in field settings. ,qualitative analysis; new technology in field settings,http://www.tropmedres.ac/shoklo-malaria-research-unit-smru
Oxford,United Kingdom,"The Jenner Institute, University of Oxford",Jenner Institute,"Development of Malaria Vaccines (both the blood and transmission blocking stages of malaria, as well as the pre-clinical development of vaccines for emerging infectious diseases).",lab-based; vaccine development; malaria,http://www.jenner.ac.uk/home
Oxford,United Kingdom,Worldwide Antimalarial Resistance Network,WWARN,Suboptimal dosing of antimalarials: what is the proportion of the population infected with P. falciparum malaria in malaria African endemic countries receiving a sub-optimal dose?,suboptimal dosing; malaria; literature review,http://www.wwarn.org/
Oxford,United Kingdom,Infectious Disease Data Observatory,IDDO,"Mapping the development of treatment guidelines and a research agenda for emerging infections, with a focus on Ebola virus disease.",emerging infections; ebola; treatment guidelines,http://www.tropicalmedicine.ox.ac.uk/uk-centre 
Kilifi,Kenya,KEMRI-Wellcome Trust Research Programme,KWTRP,A pilot study on Improved Breastfeeding Support to Treat Acute Malnutrition amongst Infants under 6 months (IBAMI).,acute malnutrition; quantitative,http://www.tropicalmedicine.ox.ac.uk/kenya-kwtrp 
Nairobi,Kenya,KEMRI-Wellcome Trust Research Programme,KWTRP,National Survey of Health IT Systems in Public Hospitals in Kenya,health IT systems; qualitative,http://www.tropicalmedicine.ox.ac.uk/kenya-kwtrp 
Geneva,Switzerland,World Health Organisation Initiative for Vaccine Research,WHO,Assessing risks and opportunities associated with the addition of GBS surveillance to an existing network of vaccine-preventable invasive bacterial disease surveillance.,global disease; surveillance,http://www.who.int/immunization/research/en/ 
Geneva,Switzerland,World Health Organisation Special Programme for Research and Training in Tropical Diseases,WHO,Are subjects enrolled in clinical trials representative of the spectrum composition of patients seen in real-life settings? Malaria: a case study,clinical trials; malaria,http://www.who.int/tdr/en/ 
Vientiane,Laos,Lao-Oxford Mahosot Hospital-Wellcome Trust Research Trust Unit,LOMWRU-IDDO,Review of the quality of veterinary medicines related to ONEHealth and antimicrobial resistance.,ONEHealth; literature review,http://www.tropmedres.ac/_asset/file/mahosot-micro-review-eng-no-7.pdf 
Yangon,Myanmar,Medical Action Myanmar and Myanmar Oxford Clinical Research Unit,MAM/MOCRU,Yangon slums treatment project,HIV; TB; STD; malnutrition diagnosis and treatment,http://www.tropicalmedicine.ox.ac.uk/myanmar-mocru 
Siem Reap,Cambodia,Cambodia Oxford Medical Research Unit,COMRU,Young infant sepsis lab-based project,community-acquired sepsis; lab-based project,http://www.tropicalmedicine.ox.ac.uk/cambodia-comru 
Bangkok,Thailand,Mahidol-Oxford Tropical Medicine Research Unit,MORU,Modelling the evolution of Cambodian plantations and their effect on Malaria incidence and transmission dynamics,malaria; modelling,http://www.tropicalmedicine.ox.ac.uk/thailand-moru 
Bangkok,Thailand,Mahidol-Oxford Tropical Medicine Research Unit,MORU,Modelling malaria transmission with plantations in Cambodia,malaria; modelling,http://www.tropicalmedicine.ox.ac.uk/thailand-moru 
Bangkok,Thailand,Mahidol-Oxford Tropical Medicine Research Unit,MORU,"Estimating the cost of antimicrobial resistance for economic evaluations of diagnostics, treatments and vaccines for infectious diseases",vaccine; antimicrobial resistance,http://www.tropicalmedicine.ox.ac.uk/thailand-moru 
Mae Sot,Thailand,Shoklo Malaria Research Unit,SMRU,Perceptions and experiences of teenage pregnancies in refugees and migrant women and adolescents on the Thai-Myanmar border,,http://www.tropmedres.ac/shoklo-malaria-research-unit-smru
Mae Sot,Thailand,Shoklo Malaria Research Unit,SMRU,Outcomes of neonatal resuscitation in a resource limited setting on the Thailand-Myanmar border,,http://www.tropmedres.ac/shoklo-malaria-research-unit-smru
Oxford,United Kingdom,The Oxford Health Systems Collaboration,OHSCAR,"Health services that deliver: Improving care for the sick newborns (HDS-N), Kenya",,http://www.tropicalmedicine.ox.ac.uk/ohscar 
Oxford,United Kingdom,The Oxford Health Systems Collaboration,OHSCAR,Missed nursning care in facility-based care of newborns in low resource settings: an assessment of frameworks and tools,,http://www.tropicalmedicine.ox.ac.uk/ohscar 
Oxford,United Kingdom,"The Jenner Institute, University of Oxford",Jenner Institute,Affinity and avidity of novel monoclonal antibodies againts P. falciparum,malaria,http://www.jenner.ac.uk/home
Oxford,United Kingdom,Nuffield Department of Obstetrics and Gynaecology,NDOG,A systematic review of the methodological quality of studies designed to create anthropometric charts for monitoring multiple pregnancies,systematic review,https://www.obs-gyn.ox.ac.uk/ 
Kilifi,Kenya,KEMRI-Wellcome Trust Research Programme,KWTRP,Social determinants of severe acute malnutrition in Kenya,,http://www.tropicalmedicine.ox.ac.uk/kenya-kwtrp 
Nairobi,Kenya,KEMRI-Wellcome Trust Research Programme,KWTRP,"Malaria surveillance in Kenya under devolution: understanding, perceptions and experiences",,http://www.tropicalmedicine.ox.ac.uk/kenya-kwtrp 
Geneva,Switzerland,World Health Organisation - Food Safety and Zoonosis Unit,WHO,The effect of the use of antimicrobials in livestock in antimicrobial resistance in humans? A systematic review,antimicrobial resistance; systematic review,http://www.who.int/foodsafety/en/ 
Vientiane,Laos,Lao-Oxford Mahosot Hospital-Wellcome Trust Research Trust Unit,LOMWRU-IDDO,Anti-diabetic medications and glucose monitoring supplies quality: review fo the evidence,diabetes,http://www.tropmedres.ac/_asset/file/mahosot-micro-review-eng-no-7.pdf 
Siem Reap,Cambodia,Cambodia Oxford Medical Research Unit,COMRU,"A survey of pneumococcal disease following introduction of the pneumococcal conjugate vaccine (PVC-13) at Angkor Hospital for Children in Siem Reap, Cambodia",,http://www.tropicalmedicine.ox.ac.uk/cambodia-comru 
,Uganda,,,Nodding Syndrome in northern Uganda: a case-control study,,
,Syria,,,Gaps in cancer management among Syrian refugees in Lebanon and Jordan,,
,Jordan,,,Gaps in cancer management among Syrian refugees in Lebanon and Jordan,,
,Lebanon,,,Gaps in cancer management among Syrian refugees in Lebanon and Jordan,,
Ho Chi Minh,Vietnam,The Oxford University Clinical Research Unit,OUCRU,Community engagement in the CNS-HIV Study,HIV ,http://www.tropicalmedicine.ox.ac.uk/vietnam-oucru 
