"cohort","country","iso3c","lon","lat"
"Class 2015-2016","Australia","AUS",135,-25
"Class 2015-2016","South Africa","ZAF",23.121,-30.558
"Class 2015-2016","Belgium","BEL",4,50.8333
"Class 2015-2016","Taiwan","TWN",120.6839,24.1469
"Class 2015-2016","Nigeria","NGA",8,10
"Class 2015-2016","Cameroon","CMR",12,6
"Class 2015-2016","United States of America","USA",-97,38
"Class 2015-2016","Mexico","MEX",-105.795982,30.562072
"Class 2015-2016","Syria","SYR",38,35
"Class 2015-2016","Nigeria","NGA",8,10
"Class 2015-2016","Indonesia","IDN",120,0
"Class 2015-2016","Kenya","KEN",38,1
"Class 2015-2016","Nepal","NPL",84,28
"Class 2015-2016","South Africa","ZAF",23.121,-30.558
"Class 2015-2016","Mexico","MEX",-105.795982,30.562072
"Class 2015-2016","Kenya","KEN",38,1
"Class 2015-2016","Kenya","KEN",38,1
"Class 2015-2016","Papua New Guinea","PNG",143.459,-5.949
"Class 2016-2017","Ghana","GHA",-1,8
"Class 2016-2017","Nigeria","NGA",8,10
"Class 2016-2017","Australia","AUS",135,-25
"Class 2016-2017","Kenya","KEN",38,1
"Class 2016-2017","South Africa","ZAF",23.121,-30.558
"Class 2016-2017","Tanzania","TZA",35,-6
"Class 2016-2017","Liberia","LBR",-9.5,6.5
"Class 2016-2017","Tanzania","TZA",35,-6
"Class 2016-2017","Zimbabwe","ZWE",30.73189,-20.129123
"Class 2016-2017","Botswana","BWA",24,-22
"Class 2016-2017","Mexico","MEX",-105.795982,30.562072
"Class 2016-2017","South Africa","ZAF",23.121,-30.558
"Class 2016-2017","Iran","IRN",53,32
"Class 2016-2017","Cameroon","CMR",12,6
"Class 2016-2017","China","CHN",105,35
"Class 2016-2017","Myanmar","MMR",96,21
"Class 2017-2018","Bangladesh","BGD",90,24
"Class 2017-2018","Nigeria","NGA",8,10
"Class 2017-2018","Australia","AUS",135,-25
"Class 2017-2018","Brazil","BRA",-55,-10
"Class 2017-2018","United States of America","USA",-97,38
"Class 2017-2018","United Kingdom","GBR",-2,54
"Class 2017-2018","Liberia","LBR",-9.5,6.5
"Class 2017-2018","China","CHN",105,35
"Class 2017-2018","Tanzania","TZA",35,-6
"Class 2017-2018","South Africa","ZAF",23.121,-30.558
"Class 2017-2018","Malawi","MWI",34,-13.5
"Class 2017-2018","Cameroon","CMR",12,6
"Class 2017-2018","Nepal","NPL",84,28
"Class 2017-2018","Canada","CAN",-96,60
"Class 2017-2018","Egypt","EGY",30,27
"Class 2017-2018","South Africa","ZAF",23.121,-30.558
